IDfg,Name,Team,G,W,L,QS,CG,ShO,SV,HLD,BS,IP,H_pitch,ER,HR_pitch,BB_pitch,HBP_pitch,SO_pitch,AB,H_hit,1B,2B,3B,HR_hit,R,RBI,BB_hit,SO_hit,HBP_hit,SF,SH,SB,CS
16400,Reynaldo Lopez,ATL,26,8,5,14,0,0,0,1,0,135.2,108,30,10,42,2,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13743,Max Fried,ATL,29,11,10,16,2,1,0,0,0,174.1,146,63,13,57,7,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19290,Randy Arozarena,SEA,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,549,120,67,33,0,20,77,60,73,169,22,4,0,20,10
14078,Michael Wacha,KCR,29,13,8,14,0,0,0,0,0,166.2,154,62,17,45,5,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30134,Tanner Bibee,CLE,31,12,8,12,0,0,0,0,0,173.2,150,67,22,44,8,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17085,Pablo Lopez,MIN,32,15,10,18,0,0,0,0,0,185.1,180,84,26,41,8,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16149,Aaron Nola,PHI,33,14,8,20,1,1,0,0,0,199.1,189,79,30,50,3,197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20036,Isaac Paredes,CHC,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,542,129,84,25,1,19,64,80,76,105,17,6,0,1,1
22201,MacKenzie Gore,WSN,32,10,12,11,0,0,0,0,0,166.1,171,72,15,65,11,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25880,Hunter Brown,HOU,31,11,9,19,0,0,0,0,0,170,156,66,18,60,5,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
